Country,Covid_Cases,Populations,Import,Export
India,0.7526170521865688,0.9332040180117769,367980363479,275488744927
United States,0.999998305616595,0.2282230689296848,2405381557667,1430253623489
Indonesia,0.09332340321968055,0.18715621752684444,141568761235,163306485250
Brazil,0.4781612903367774,0.14671285071007967,166336211575,209180241655
Russia,0.18299213145950666,0.10125389677866296,247161342900,426720332660
Mexico,0.08270333811134783,0.08726705923103567,383305535087,418140902412
Philippines,0.06076080895585053,0.07589885694492551,90666702493,63879429192
Iran,0.12933160315516196,0.05816418427433322,41236168450,96617521276
Turkey,0.17338583574691283,0.05789400762036716,219514372881,169657939777
Germany,0.09842063662165475,0.057589192933841356,1171915280837,1383968565520
France,0.1568028833564459,0.046588153792864566,582775305815,488562445788
United Kingdom,0.19385720000721762,0.046525805334257014,634174870301,395692086586
Thailand,0.041078587262725806,0.04614478697609976,207695675614,231387919677
Italy,0.1038506513253819,0.04128853481122272,422648102450,495976960159
South Africa,0.06424796002839522,0.041052996189816414,68943156587,85226766450
Colombia,0.10979613266890031,0.035219951506754416,43487464166,31055810659
Spain,0.10997329475713764,0.03276065119501212,329738801365,312080513421
Argentina,0.11613013392670493,0.03140976792518185,42355505399,54883822445
Ukraine,0.061681761348958045,0.030543817111188087,53674668694,49230799582
Iraq,0.04506034425469795,0.027821267751991688,37064476500,43774017809
Poland,0.06562030056161108,0.02626948389331486,254660433330,254169031902
Malaysia,0.05361339363871257,0.022646345687564944,189702190589,233930987123
Peru,0.04823773123382359,0.022577069622445448,42376434141,46131564759
Netherlands,0.045941599665172236,0.01203325251125736,485489155795,551820270058
Czech Republic,0.03818909142760824,0.0073848285417388295,170677595406,192304895579
